userid,placeid,datetime
22234,47752,2010-01-04T07:41:01Z
22234,12904,2009-12-31T22:41:56Z
22234,60638,2009-12-31T22:38:37Z
22234,304153,2009-12-31T21:58:10Z
22234,69675,2009-12-31T13:20:33Z
22234,282468,2009-12-30T20:38:14Z
22234,57279,2009-12-30T19:54:05Z
22234,131998,2009-12-30T19:25:41Z
22234,271964,2009-12-30T13:35:48Z
22234,282243,2009-12-30T02:27:38Z
22234,290715,2009-12-29T18:52:56Z
22234,259304,2009-12-29T14:22:21Z
22234,282468,2009-12-29T11:00:40Z
22234,55866,2009-12-28T22:33:34Z
22234,285904,2009-12-28T21:30:26Z
22234,285358,2009-12-28T20:11:11Z
22234,55096,2009-12-28T19:02:23Z
22234,271964,2009-12-28T14:50:35Z
22234,75112,2009-12-28T14:08:37Z
22234,49538,2009-12-28T13:53:58Z
22234,282243,2009-12-28T09:20:42Z
22234,271964,2009-12-27T15:16:41Z
22234,47752,2009-12-27T14:28:35Z
22234,121067,2009-12-27T14:06:15Z
26751,47752,2011-05-20T06:47:37Z
26751,968242,2011-05-19T17:28:21Z
26751,223306,2011-05-19T16:30:50Z
26751,406572,2011-05-18T17:06:27Z
26751,246646,2011-05-18T16:44:27Z
26751,87199,2011-05-18T14:57:37Z
26751,901200,2011-05-18T14:57:06Z
26751,7231639,2011-05-18T14:13:47Z
26751,1025745,2011-05-17T15:34:18Z
26751,5142683,2011-05-17T15:02:54Z
26751,6603765,2011-05-17T15:02:37Z
26751,944697,2011-05-17T15:02:04Z
26751,47752,2011-05-17T14:34:09Z
3716,1023313,2010-05-12T14:35:38Z
29054,6381304,2011-06-24T21:53:24Z
29054,73640,2011-06-21T19:05:48Z
29054,36602,2011-06-16T10:45:39Z
29054,938215,2011-06-16T10:43:57Z
29054,960628,2011-06-13T10:02:42Z
29054,117724,2011-06-12T19:15:28Z
29054,66170,2011-06-10T11:55:50Z
29054,307298,2011-06-06T08:24:18Z
29054,12977,2011-06-03T00:05:26Z
29054,307298,2011-05-30T18:37:31Z
29054,307298,2011-05-25T10:15:10Z
29054,976302,2011-05-20T10:12:17Z
29054,307298,2011-05-10T13:27:37Z
29054,317526,2011-05-09T17:15:40Z
29054,1198121,2011-05-08T19:31:29Z
29054,241099,2011-05-01T12:43:12Z
29054,1073205,2011-04-30T13:25:45Z
29054,1073205,2011-04-21T13:21:31Z
29054,245609,2011-04-20T12:32:56Z
29054,514591,2011-04-19T16:52:50Z
29054,545914,2011-04-16T19:30:50Z
29054,849778,2011-04-15T13:34:15Z
29054,57279,2011-04-08T21:30:26Z
29054,338783,2011-04-05T14:15:02Z
29054,63598,2011-04-04T20:00:33Z
29054,6456195,2011-04-04T20:00:09Z
29054,12977,2011-04-04T19:58:54Z
29054,1198121,2011-04-02T19:32:58Z
29054,1071654,2011-03-30T15:34:52Z
29054,241099,2011-03-29T09:55:59Z
29054,545914,2011-03-28T21:00:42Z
29054,1334561,2011-03-28T12:52:41Z
29054,483759,2011-03-27T15:02:13Z
29054,514591,2011-03-27T14:44:17Z
29054,1348118,2011-03-26T16:36:29Z
29054,62652,2011-03-26T15:36:50Z
29054,753639,2011-03-26T15:30:39Z
29054,1317293,2011-03-26T15:18:29Z
29054,634364,2011-03-26T14:21:21Z
29054,12904,2011-03-26T12:51:59Z
29054,49538,2011-03-26T12:30:59Z
29054,1084796,2011-03-25T21:56:12Z
29054,1099619,2011-03-23T17:30:18Z
29054,851533,2011-03-23T13:38:59Z
29054,1125894,2011-03-23T13:20:02Z
29054,71232,2011-03-23T11:41:26Z
29054,472141,2011-03-22T09:35:28Z
29054,307298,2011-03-21T16:20:49Z
29054,117724,2011-03-21T15:30:46Z
29054,177754,2011-03-21T14:48:34Z
29054,49538,2011-03-21T14:48:05Z
29054,1084796,2011-03-20T19:19:09Z
29054,307298,2011-03-19T15:28:12Z
29054,619988,2011-03-11T13:54:34Z
29054,198591,2011-03-11T13:43:26Z
29054,307298,2011-03-04T15:17:41Z
29054,59369,2011-02-26T05:31:25Z
29054,307298,2011-02-20T15:24:05Z
29054,6501219,2011-01-21T19:02:04Z
29054,241099,2011-01-09T17:34:41Z
29054,46120,2010-12-18T10:38:25Z
29054,55096,2010-12-15T00:58:46Z
29054,49746,2010-12-15T00:33:49Z
29054,6381304,2010-11-13T22:09:40Z
29054,338403,2010-10-19T14:42:39Z
29054,345723,2010-10-11T10:54:58Z
29054,484716,2010-10-10T15:16:34Z
29054,430486,2010-10-10T13:04:50Z
29054,219125,2010-10-10T10:32:29Z
29054,282357,2010-10-10T04:59:39Z
29054,241099,2010-10-03T21:34:43Z
29054,47752,2010-09-20T11:22:57Z
29054,71068,2010-09-20T11:19:32Z
29054,71064,2010-09-20T11:18:56Z
29054,1549455,2010-09-20T11:15:26Z
29054,71071,2010-09-20T11:14:31Z
29054,1432402,2010-09-20T11:10:31Z
29054,1127008,2010-09-18T09:17:38Z
29054,55866,2010-09-13T20:35:08Z
29054,851967,2010-09-12T16:27:22Z
29054,307298,2010-09-07T09:45:56Z
29054,77885,2010-09-06T08:24:17Z
29054,1254364,2010-09-06T08:24:03Z
29054,241099,2010-09-05T14:41:47Z
29054,49536,2010-09-04T09:19:51Z
29054,343036,2010-08-31T11:02:33Z
29054,514591,2010-08-24T19:18:31Z
29054,46120,2010-08-24T16:02:38Z
29054,46120,2010-08-10T04:00:39Z
29054,60424,2010-08-10T03:11:25Z
29054,625584,2010-08-09T15:21:36Z
29054,46120,2010-08-07T07:58:23Z
29054,46120,2010-08-05T07:58:41Z
29054,184821,2010-08-05T07:31:02Z
29054,1534282,2010-08-04T22:47:28Z
29054,1539238,2010-08-04T22:47:19Z
29054,308693,2010-08-04T13:57:58Z
29054,63705,2010-08-04T13:09:01Z
29054,515504,2010-08-04T12:50:57Z
29054,47752,2010-08-04T12:49:58Z
29054,937623,2010-08-04T12:42:41Z
29054,634364,2010-08-04T12:40:07Z
29054,931999,2010-08-04T12:13:43Z
29054,425165,2010-08-04T11:33:20Z
29054,12978,2010-08-04T11:32:59Z
29054,57346,2010-08-04T10:25:41Z
29054,71347,2010-08-04T10:25:26Z
29054,841903,2010-08-03T15:51:50Z
29054,841903,2010-07-28T14:35:19Z
29054,849778,2010-07-27T19:32:55Z
29054,236308,2010-07-20T21:14:25Z
29054,307298,2010-07-19T18:52:58Z
29054,514591,2010-07-06T07:26:54Z
29054,98612,2010-07-03T09:30:45Z
29054,525580,2010-07-03T09:30:13Z
29054,307298,2010-07-02T06:51:51Z
29054,1127049,2010-06-19T15:21:26Z
29054,1191688,2010-06-19T15:20:42Z
29054,1125894,2010-06-19T13:56:19Z
29054,86316,2010-06-19T11:23:56Z
29054,851533,2010-06-09T15:55:51Z
29054,960628,2010-06-09T15:55:23Z
29054,224834,2010-06-09T15:54:07Z
29054,54813,2010-06-09T15:53:24Z
29054,234831,2010-06-09T15:53:14Z
29054,1086385,2010-06-09T15:52:15Z
29054,307298,2010-06-03T15:58:45Z
29054,124178,2010-05-29T17:36:00Z
29054,73640,2010-05-29T17:30:02Z
29054,714962,2010-05-29T10:47:31Z
29054,147321,2010-05-29T10:31:34Z
29054,670902,2010-05-27T09:50:32Z
29054,400832,2010-05-27T09:47:31Z
29054,680470,2010-05-27T09:40:08Z
29054,124175,2010-05-27T09:39:25Z
29054,472141,2010-05-27T08:04:48Z
29054,307298,2010-05-27T07:54:03Z
29054,483759,2010-05-27T07:43:49Z
29054,472141,2010-05-26T09:12:50Z
29054,307298,2010-05-26T08:39:44Z
29054,483848,2010-05-25T16:05:56Z
29054,124175,2010-05-24T18:04:10Z
29054,975143,2010-05-24T17:59:55Z
29054,744974,2010-05-24T17:57:07Z
29054,586116,2010-05-24T17:52:03Z
