placeid,night,morning,noon,evening
47752,93,700,616,978
12904,73,96,288,306
60638,24,128,192,265
304153,0,2,6,8
69675,8,27,42,56
282468,2,6,4,6
57279,39,140,150,280
131998,17,5,3,51
271964,29,24,56,58
282243,2,4,1,5
290715,8,11,21,51
259304,2,8,12,20
55866,12,29,38,71
285904,3,5,13,29
285358,1,1,3,5
55096,4,25,56,79
75112,2,8,74,62
49538,24,129,237,330
121067,11,66,82,109
968242,2,9,7,11
223306,4,13,16,18
406572,4,5,21,11
246646,3,9,28,40
87199,7,19,51,53
901200,3,5,20,19
7231639,1,1,20,6
1025745,2,2,3,7
5142683,1,1,3,3
6603765,2,2,1,4
944697,0,4,7,9
1023313,80,106,90,171
6381304,1,0,2,8
73640,27,79,132,176
36602,22,66,157,264
938215,0,2,8,8
960628,2,1,12,7
117724,5,13,33,37
66170,7,3,12,25
307298,1,9,4,13
12977,30,41,174,109
976302,4,2,8,8
317526,4,7,41,52
1198121,4,2,2,10
241099,0,3,5,12
1073205,2,1,5,3
245609,10,4,26,18
514591,1,8,20,37
545914,2,0,5,10
849778,3,4,9,5
338783,4,4,2,9
63598,28,9,17,19
6456195,1,1,7,8
1071654,1,2,6,7
1334561,1,5,3,1
483759,6,12,7,11
1348118,0,4,10,17
62652,5,7,21,22
753639,2,2,7,15
1317293,3,8,19,8
634364,13,22,46,53
1084796,2,0,4,10
1099619,0,0,10,15
851533,1,0,6,3
1125894,1,1,4,5
71232,0,2,7,7
472141,2,18,5,35
177754,3,29,81,98
619988,2,6,10,11
198591,6,65,225,150
59369,38,156,120,185
6501219,3,8,25,19
46120,109,548,452,691
49746,27,5,42,70
338403,2,1,10,8
345723,6,6,11,17
484716,5,3,9,26
430486,1,13,6,11
219125,1,4,3,5
282357,6,4,11,7
71068,9,89,47,125
71064,17,57,33,71
1549455,5,19,26,25
71071,21,144,117,171
1432402,0,4,9,16
1127008,2,11,21,15
851967,0,0,3,8
77885,15,29,33,66
1254364,7,15,28,36
49536,46,179,197,346
343036,7,17,13,14
60424,11,11,12,32
625584,1,3,19,19
184821,3,16,24,27
1534282,6,4,7,11
1539238,4,2,1,3
308693,3,2,2,9
63705,9,12,36,36
515504,5,7,30,23
937623,4,19,15,32
931999,3,8,11,6
425165,3,10,11,10
12978,5,20,59,31
57346,9,187,131,145
71347,6,25,67,38
841903,4,6,6,6
236308,1,3,7,7
98612,3,8,6,10
525580,3,1,0,4
1127049,0,2,7,8
1191688,0,2,16,15
86316,19,26,15,41
224834,2,0,1,6
54813,0,1,6,5
234831,0,2,6,4
1086385,0,0,2,4
124178,11,189,40,117
714962,1,5,5,4
147321,3,9,27,28
670902,0,2,4,4
400832,2,3,6,8
680470,1,12,16,12
124175,18,55,66,84
483848,10,165,30,47
975143,4,4,4,7
744974,2,6,4,13
586116,1,3,2,2
586132,2,2,4,5
586281,2,3,7,10
593052,5,3,10,8
968830,0,2,6,4
707819,1,6,24,19
860204,2,2,7,8
619310,2,2,5,8
62247,2,4,7,17
197904,3,24,40,76
234477,3,11,37,45
1127075,0,0,6,13
1126984,1,3,7,10
1126942,1,3,10,8
1126888,1,5,8,9
1126865,1,4,10,8
1126846,1,7,6,10
1125964,1,1,1,11
789350,57,2,1,24
349968,0,2,4,7
1002197,1,9,10,3
233744,4,12,27,23
62646,2,19,53,50
61421,11,35,34,219
74527,3,5,5,7
54815,15,60,23,55
311403,10,2,8,7
335315,2,1,4,5
159413,14,40,33,50
117531,4,13,12,36
60642,4,2,18,55
166847,4,2,11,11
155209,4,3,1,6
59195,6,9,18,19
149050,3,2,3,4
69760,13,7,21,55
117893,2,2,1,3
1097611,2,9,2,2
211569,3,19,18,31
307104,0,11,6,5
6787321,0,2,17,7
12880,23,65,179,162
396624,1,1,13,28
72032,13,7,4,27
167954,22,25,33,68
282376,1,9,19,15
251358,3,3,8,9
251348,2,3,6,8
283177,1,7,6,9
283076,1,7,10,21
703461,8,13,18,41
173049,2,12,63,69
63857,21,56,124,152
63868,5,41,168,192
63865,4,7,13,26
173477,1,7,6,12
273432,1,4,3,7
187332,1,1,5,6
54887,1,5,7,7
134781,3,8,15,30
71035,14,85,82,109
177452,0,1,4,5
138860,1,4,9,6
121958,0,1,16,13
87157,2,4,15,13
155504,1,6,22,40
168630,1,4,11,28
535984,3,38,36,34
1595345,1,16,15,5
34329,18,72,135,148
173118,8,24,127,91
136792,0,4,4,8
76327,6,5,16,16
54965,3,3,8,25
299283,5,2,7,21
465594,0,3,7,10
876155,1,2,8,11
235952,3,3,11,27
292791,13,12,10,18
939652,2,0,11,13
218991,4,6,7,27
60292,10,12,46,53
117334,9,50,113,103
385611,1,0,3,38
754741,9,11,17,15
581586,3,13,17,11
288704,2,3,12,12
946115,2,2,5,6
60791,6,28,99,121
1026126,3,10,8,9
374849,0,5,13,13
1210831,0,3,7,7
229381,0,7,16,25
392657,3,6,14,15
288731,2,5,12,13
205773,6,14,34,65
184915,6,54,57,87
638119,3,10,9,21
400762,10,9,12,10
256307,13,82,53,139
150115,4,8,7,17
634531,3,9,7,7
87250,2,6,12,24
12901,4,9,16,33
333951,19,43,150,217
947898,15,19,61,56
727619,1,7,13,9
117582,4,22,50,52
117590,9,49,76,69
288739,1,15,33,25
597951,9,92,66,104
164206,17,28,73,81
713460,8,20,35,35
245326,2,7,22,23
167780,14,17,47,30
973509,1,3,4,7
1026131,1,2,4,4
746051,4,7,4,15
456763,3,16,9,19
245307,24,9,38,46
51215,1,11,38,25
80643,8,18,43,97
136487,3,9,39,43
89032,2,43,62,21
1288442,1,5,9,9
343490,4,7,5,6
74660,1,9,12,9
4028217,2,3,4,5
137665,5,35,40,35
3123825,1,3,8,4
1242034,2,2,7,3
580673,4,36,30,10
307177,1,2,6,9
321491,10,4,10,13
79775,4,19,36,32
165636,8,5,6,7
91084,3,1,15,16
594235,4,3,2,16
1253828,3,3,3,8
71684,2,1,31,19
299960,6,2,2,4
384974,1,2,18,64
2459804,1,4,4,2
1174876,0,4,4,7
436219,8,43,43,36
554981,5,122,81,58
933084,3,2,2,4
937495,0,48,25,16
875609,0,3,4,14
66625,5,7,11,11
48441,0,6,33,7
750605,2,14,12,11
161376,6,9,6,12
728221,3,10,13,15
357436,5,0,9,11
273012,2,0,8,12
150625,9,2,5,33
550275,5,12,34,8
168800,0,0,4,6
805258,0,1,5,1
302431,0,1,8,9
7230675,0,20,20,3
6593972,0,1,2,7
7225861,0,22,17,16
60558,7,1,6,12
218908,4,4,11,23
600550,16,10,21,19
195043,21,23,62,54
995819,1,0,6,3
950466,0,16,18,5
306890,1,2,6,14
98306,2,1,4,10
208192,2,17,28,27
499645,5,36,32,18
1204505,5,1,11,19
1154155,0,1,2,7
877899,5,1,3,2
470678,3,1,4,3
4672111,1,10,11,12
3593915,1,3,4,21
1818280,2,2,3,4
1390038,0,4,2,6
3872978,1,4,5,6
1544619,4,5,3,2
384748,3,7,4,10
454842,2,4,5,2
58839,1,11,24,13
6695019,0,88,25,2
6491364,0,1,4,6
6692889,2,96,13,9
6402728,1,8,7,14
7082503,2,3,6,7
74526,0,6,4,3
752559,3,2,3,3
294985,5,2,7,10
1545751,2,5,1,3
1390278,2,3,3,2
285586,6,4,6,9
6135701,1,1,6,4
1526564,1,2,3,5
193003,3,9,13,8
869085,5,4,13,10
1526586,2,3,2,3
418473,6,4,7,10
953636,2,1,2,4
4157652,2,1,2,3
1271792,2,4,11,10
609083,3,2,12,3
1266178,1,2,3,3
1470702,2,2,1,7
576442,0,5,8,5
5337170,1,1,4,5
744727,2,4,4,11
789037,0,12,15,6
6449103,1,8,5,14
