userid,placeid,datetime
1338,11601,2010-05-30T16:45:54Z
5144,170134,2010-04-25T02:22:57Z
113934,610907,2011-05-26T12:03:19Z
113934,244626,2011-05-25T22:12:22Z
113934,404377,2011-05-25T20:50:35Z
162577,233050,2010-05-20T12:02:44Z
175799,743699,2010-09-12T14:53:50Z
175799,802746,2010-09-11T20:09:55Z
130873,399627,2010-09-25T00:01:51Z
130873,4166267,2010-09-23T14:13:11Z
11158,47061,2009-10-27T17:52:43Z
11158,41485,2009-10-27T02:33:25Z
11158,64337,2009-10-26T22:47:18Z
1337,1325462,2011-01-02T14:54:17Z
1337,236923,2011-01-01T19:48:48Z
1337,236936,2011-01-01T19:18:55Z
1337,1209275,2011-01-01T19:05:46Z
1337,1013493,2011-01-01T18:15:47Z
1337,53368,2011-01-01T01:48:22Z
1337,9943,2011-01-01T01:15:41Z
1337,3096921,2011-01-01T01:15:20Z
1337,9996,2011-01-01T01:14:59Z
1337,1132125,2011-01-01T01:14:13Z
1337,10616,2011-01-01T01:13:47Z
1337,1184415,2010-12-31T23:45:33Z
1337,13257,2010-12-31T20:39:37Z
1337,3451739,2010-12-31T18:07:16Z
1337,53362,2010-12-31T18:06:04Z
1337,283310,2010-12-31T16:54:19Z
1337,12042,2010-12-31T01:54:29Z
1337,45455,2010-12-29T18:45:43Z
1337,360448,2010-12-29T18:10:36Z
1337,410772,2010-12-29T18:02:09Z
1337,536794,2010-08-10T22:02:49Z
1337,566422,2010-08-10T21:42:01Z
1337,598186,2010-08-10T21:41:09Z
1337,154234,2010-08-10T21:39:39Z
1337,1345168,2010-08-10T21:38:17Z
1337,1451677,2010-08-10T21:07:00Z
1337,1085299,2010-08-10T21:05:37Z
1337,832058,2010-08-10T19:05:27Z
1337,122316,2010-08-10T18:37:11Z
1337,11793,2010-08-10T18:36:09Z
1337,9952,2010-08-10T16:13:37Z
1337,463447,2010-08-10T16:09:12Z
1337,427053,2010-08-10T15:56:27Z
1337,536794,2010-08-10T15:48:55Z
1337,10616,2010-08-10T02:17:08Z
1337,1132125,2010-08-10T02:16:42Z
1337,386375,2010-08-10T02:13:45Z
1337,9948,2010-08-10T02:12:33Z
1337,53366,2010-08-09T20:32:16Z
1337,53368,2010-08-09T20:31:44Z
1337,53358,2010-08-09T19:52:40Z
1337,55372,2010-08-09T19:16:37Z
1337,28788,2010-08-09T19:16:25Z
1337,283310,2010-08-09T19:16:08Z
1337,668544,2010-08-09T18:53:22Z
1337,265053,2010-08-09T18:41:22Z
1337,668586,2010-08-09T18:29:34Z
1337,237097,2010-08-09T18:13:17Z
1337,536794,2010-08-09T17:04:04Z
1337,143371,2010-08-09T16:04:08Z
1337,728439,2010-08-08T23:01:29Z
1337,237097,2010-08-08T22:04:27Z
1337,562090,2010-08-08T22:03:30Z
1337,65260,2010-08-08T21:52:43Z
1337,65269,2010-08-08T21:51:22Z
1337,933818,2010-08-08T21:50:51Z
1337,65260,2010-08-08T21:50:12Z
1337,103449,2010-08-08T21:34:11Z
1337,10990,2010-08-08T21:33:37Z
1337,340241,2010-08-08T21:10:09Z
1337,122047,2010-08-06T21:03:19Z
1337,122035,2010-08-06T21:02:49Z
1337,122015,2010-08-06T21:02:35Z
1337,121952,2010-08-06T21:02:22Z
1337,121993,2010-08-06T21:02:07Z
1337,121948,2010-08-06T21:01:32Z
1337,121975,2010-08-06T21:01:02Z
1337,121997,2010-08-06T21:00:39Z
1337,122118,2010-08-06T21:00:12Z
1337,122110,2010-08-06T20:59:59Z
1337,122114,2010-08-06T20:59:27Z
1337,121917,2010-08-06T20:01:56Z
1337,1562119,2010-08-06T16:51:49Z
1337,1261611,2010-08-06T01:54:19Z
1337,1300311,2010-08-06T01:45:59Z
1337,832058,2010-08-06T01:45:39Z
1337,11793,2010-08-06T01:45:16Z
1337,861311,2010-08-06T00:00:54Z
1337,341507,2010-08-05T19:28:45Z
1337,558076,2010-08-05T18:05:15Z
1337,9943,2010-08-05T17:56:42Z
1337,9996,2010-08-05T17:56:24Z
1337,9907,2010-08-05T15:44:36Z
1337,9883,2010-08-05T13:48:18Z
68278,20585,2010-06-17T16:51:05Z
116691,223827,2010-06-03T22:41:14Z
116691,1214806,2010-06-03T21:33:50Z
116691,223827,2010-06-03T00:31:22Z
116691,13582,2010-05-22T03:18:16Z
116691,13582,2010-05-22T02:55:14Z
116691,9948,2010-05-22T02:25:26Z
116691,11793,2010-05-22T02:12:48Z
116691,19857,2010-05-22T01:50:45Z
116691,53368,2010-05-22T01:17:39Z
116691,9816,2010-05-22T01:12:38Z
116691,28788,2010-05-22T01:06:23Z
45852,1214806,2010-06-03T21:35:30Z
45852,261655,2010-06-03T21:34:58Z
45852,1214806,2010-06-03T03:21:19Z
45852,261655,2010-06-03T00:28:18Z
876,447274,2010-12-24T22:48:01Z
876,448537,2010-12-24T22:06:08Z
54500,266768,2010-05-06T22:04:21Z
54500,230951,2009-12-22T00:14:39Z
54500,40781,2009-12-21T18:35:35Z
54500,65026,2009-12-21T17:24:44Z
54500,79755,2009-12-21T02:15:26Z
54500,65026,2009-12-20T23:42:54Z
54500,236936,2009-12-19T20:51:36Z
54500,122362,2009-12-19T03:56:40Z
54500,220363,2009-12-19T02:29:30Z
54500,231223,2009-12-18T23:05:24Z
54500,230951,2009-12-18T22:19:18Z
54500,65026,2009-12-18T17:58:26Z
54500,79755,2009-12-18T01:31:15Z
54500,34306,2009-12-18T00:45:49Z
54500,65026,2009-12-17T16:06:30Z
54500,214983,2009-12-17T03:10:41Z
54500,57789,2009-12-17T01:41:01Z
54500,30882,2009-12-17T01:15:54Z
54500,61358,2009-12-17T00:18:18Z
54500,220265,2009-12-16T23:47:43Z
54500,212447,2009-12-16T15:23:53Z
54500,13261,2009-12-16T01:32:15Z
54500,165042,2009-12-15T18:57:02Z
54500,65026,2009-12-15T16:13:09Z
54500,212447,2009-12-15T14:50:00Z
54500,65026,2009-12-14T16:47:09Z
54500,9958,2009-12-13T02:36:38Z
54500,65026,2009-12-12T23:05:04Z
54500,200821,2009-12-12T20:13:16Z
54500,12042,2009-12-12T01:51:15Z
54500,59305,2009-12-12T00:27:31Z
54500,79755,2009-12-11T23:32:54Z
2684,64875,2009-10-27T12:30:25Z
2684,64641,2009-10-27T02:22:01Z
2684,43591,2009-10-27T02:19:40Z
2684,46276,2009-10-26T23:35:21Z
2684,30927,2009-10-26T23:24:57Z
2684,48582,2009-10-26T23:17:44Z
126563,38889,2011-06-27T03:04:28Z
126563,11601,2011-06-25T05:26:28Z
126563,1063033,2011-06-10T18:42:04Z
126563,13455,2011-06-09T01:56:18Z
126563,6750576,2011-06-06T01:34:49Z
126563,331446,2011-06-03T03:59:50Z
126563,1400998,2011-06-01T01:01:00Z
126563,1142679,2011-05-13T15:59:59Z
126563,1400998,2011-05-08T23:21:36Z
126563,1400997,2011-05-01T22:40:18Z
126563,513677,2011-04-23T03:13:21Z
126563,43639,2011-04-18T01:16:52Z
126563,544303,2011-04-16T05:12:11Z
126563,6434287,2011-04-11T03:50:13Z
126563,43639,2011-04-11T01:47:46Z
126563,43639,2011-04-10T01:48:05Z
126563,745018,2011-04-06T18:37:38Z
126563,1063033,2011-04-05T15:44:12Z
126563,43639,2011-04-04T01:15:56Z
126563,43639,2011-03-28T01:44:42Z
126563,43639,2011-03-21T01:29:59Z
126563,331446,2011-03-19T18:03:19Z
126563,43639,2011-03-14T01:06:56Z
126563,331446,2011-03-12T19:34:26Z
126563,43639,2011-02-06T07:17:25Z
126563,13582,2011-01-19T02:17:35Z
126563,548943,2011-01-15T03:58:20Z
126563,43639,2011-01-02T06:58:54Z
126563,806223,2010-12-26T18:12:51Z
126563,192249,2010-12-23T05:12:13Z
126563,43639,2010-12-09T03:20:43Z
126563,43639,2010-11-30T04:56:14Z
126563,12430,2010-11-20T16:04:44Z
126563,745018,2010-11-17T16:51:31Z
126563,12233,2010-11-12T03:14:19Z
126563,13582,2010-11-12T03:13:46Z
126563,1063033,2010-11-10T19:06:17Z
126563,1034506,2010-11-10T19:05:53Z
126563,43639,2010-11-09T03:48:06Z
126563,43639,2010-11-06T18:39:59Z
126563,43639,2010-11-03T03:31:00Z
126563,900352,2010-10-06T00:04:37Z
126563,1400997,2010-09-26T17:39:58Z
126563,966522,2010-09-24T05:21:24Z
126563,745018,2010-09-23T20:38:42Z
126563,332016,2010-09-17T02:22:27Z
126563,3115602,2010-09-13T00:24:27Z
126563,121917,2010-09-06T20:22:03Z
126563,332016,2010-09-03T02:09:04Z
126563,43639,2010-08-31T02:48:26Z
126563,1422170,2010-08-30T00:54:10Z
126563,43639,2010-08-28T22:19:38Z
126563,43639,2010-08-26T01:49:48Z
126563,1034506,2010-08-24T20:40:48Z
126563,12042,2010-08-22T21:36:47Z
126563,556888,2010-08-22T06:29:21Z
126563,1400997,2010-08-22T00:35:37Z
126563,928735,2010-08-21T02:52:35Z
126563,966522,2010-08-20T05:06:14Z
126563,332016,2010-08-20T02:17:49Z
126563,521501,2010-08-16T00:44:14Z
126563,225181,2010-08-15T06:18:20Z
126563,1270858,2010-08-15T00:28:39Z
126563,332016,2010-08-13T04:25:12Z
126563,1422170,2010-08-12T04:10:27Z
126563,43639,2010-08-11T04:04:47Z
126563,13455,2010-08-11T01:40:28Z
126563,13248,2010-08-08T19:14:18Z
126563,1270858,2010-08-08T00:35:47Z
126563,861311,2010-08-07T02:25:58Z
