placeid,night,morning,noon,evening
11601,293,16,45,275
170134,26,0,1,10
610907,11,1,6,13
244626,9,2,1,3
404377,14,1,1,2
233050,22,2,13,38
743699,0,0,4,9
802746,4,0,0,3
399627,28,0,3,25
4166267,0,0,8,6
47061,113,4,5,81
41485,92,4,2,169
64337,16,2,6,15
1325462,2,0,1,1
236923,10,0,0,5
236936,9,0,0,8
1209275,7,0,0,10
1013493,8,0,1,24
53368,181,5,16,252
9943,110,9,34,297
3096921,5,1,3,28
9996,85,9,34,318
1132125,5,0,0,15
10616,49,8,12,123
1184415,7,0,0,5
13257,70,5,5,88
3451739,13,0,0,11
53362,14,0,3,16
283310,86,8,18,125
12042,56,7,8,206
45455,2,0,0,9
360448,3,0,2,10
410772,8,0,0,11
536794,5,1,0,6
566422,5,1,1,8
598186,7,7,11,17
154234,60,6,9,33
1345168,22,1,6,46
1451677,9,0,1,13
1085299,9,1,1,11
832058,122,7,9,135
122316,27,3,1,35
11793,290,20,44,571
9952,153,11,22,371
463447,29,1,4,30
427053,48,2,2,9
386375,15,1,3,14
9948,183,28,72,315
53366,51,2,3,48
53358,17,0,2,22
55372,105,7,8,138
28788,412,18,92,652
668544,8,0,0,13
265053,33,2,4,44
668586,4,0,2,6
237097,96,5,7,139
143371,11,1,1,26
728439,2,0,2,6
562090,13,0,9,20
65260,50,3,14,82
65269,98,12,36,206
933818,13,1,5,29
103449,28,8,9,43
10990,33,1,12,58
340241,1,0,1,16
122047,6,0,3,17
122035,6,0,3,18
122015,5,1,5,12
121952,6,1,7,10
121993,7,1,4,15
121948,7,1,9,10
121975,7,0,6,14
121997,7,0,4,12
122118,7,2,4,14
122110,8,1,3,8
122114,8,2,5,11
121917,19,1,17,52
1562119,1,0,0,11
1261611,9,0,0,2
1300311,15,2,2,36
861311,241,11,35,371
341507,23,0,0,12
558076,134,16,52,263
9907,265,16,52,419
9883,277,15,106,392
20585,601,20,397,390
223827,25,4,2,14
1214806,8,3,0,2
13582,470,20,42,183
19857,60,4,3,45
9816,190,13,30,232
261655,38,18,16,23
447274,13,0,4,23
448537,10,1,12,16
266768,6,0,1,5
230951,3,1,4,6
40781,163,10,17,158
65026,22,0,27,55
79755,29,0,49,68
122362,9,0,0,2
220363,26,1,1,16
231223,21,0,1,10
34306,4,0,10,8
214983,11,1,6,10
57789,22,0,0,17
